ID;Bezeichner;Gehäuse;Stückzahl;Bezeichnung;Anbieter und Referenz;;;
1;C311,C308;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;2;33n;;;;
2;R302,R312,R310,R103,R104,R105,R307,R315,R316,R318,R412,R417,R501,R502,R610,R613,R614,R1,R301,R303,R304,R305,R306,R15C301,R19C301,R1C301,R3C301,R5C301,R7C301;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;29;100K;;;;
3;Q309,Q201,Q305;Diodes_PowerDI3333-8;3;VS6412AE;;;ok;30
4;C307,C304,C310;C_1210_3225Metric;3;1u;;;;
5;Q306,Q303,Q308,Q501,Q1,Q301;SOT-23;6;2N7002;;;ok;100
6;R311,R106,R107,R108,R109,R119,R120,R121,R122,R124,R317,R415,R525,R615,R616,R618,R619,R620,R6,R205;R_0603_1608Metric_Pad1.05x0.95mm_HandSolder;20;1K;;;;
7;H101,H102,H103,H104,H105,H106;MountingHole_3.2mm_M3_DIN965_Pad;6;MountingHole_Pad;;;;
8;C101,C102,C103,C106,C107,C108,C109,C501,C502,C504,C510,C511,C512,C541,C543,C544,C612,C602,C607,C608;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;20;100nF;;;;
9;C104,C105;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;2;20pF;;;;
10;C110,C111,C112,C113;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;4;10nF;;;;
11;C309,C301,C204,C205,C302,C303,C305,C306,C312,C313,C15C301;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;11;100n;;;;
12;C411;CP_Radial_D6.3mm_P2.50mm;1;10u;;;;
13;C412,C211;CP_Radial_D5.0mm_P2.50mm;2;68u;;;;
14;C506,C508,C542;CP_Radial_D5.0mm_P2.50mm;3;10u;;;;
15;C507,C517,C518,C534;C_Rect_L7.0mm_W2.5mm_P5.00mm;4;1nF;;;;
16;C514,C515;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;2;1uF;;;;
17;C519,C520;C_Rect_L7.0mm_W2.5mm_P5.00mm;2;470nF;;;;
