"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"HS501";"Heatsink_57.9x36.8mm_4xFixation3.17mm_537-95AB";1;"537-95AB";;;
2;"C101";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1uF 36V";;;
3;"C102,C106,C107,C108,C109,C206,C207,C208,C303,C306,C410,C501,C502,C504,C510,C511,C512,C612,C701,C702,C703,C801,C802,C114,C309";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";25;"100nF";;;
4;"C103";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1uF ";;;
5;"C104,C105";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"20pF";;;
6;"C110,C111,C112,C113,C213,C215";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";6;"10nF";;;
7;"C201,C202,C203,C204,C205,C210,C211,C401,C514,C515,C601,C602";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";12;"1uF";;;
8;"C209";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10uF";;;
9;"C214";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"470nF";;;
10;"C302";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1.2nF";;;
11;"C402,C403,C405,C406";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"220nF";;;
12;"C404";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"2.2uF";;;
13;"C407,C408";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"47nF";;;
14;"C409";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1nF";;;
15;"C513,C516";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"10uF 10V";;;
16;"C525";"CP_Radial_D13.0mm_P5.00mm";1;"560uF 50V";;;
17;"C530,C531,C532,C301,C305,C307,C308";"CP_Radial_D12.5mm_P5.00mm";7;"560uF 50V";;;
18;"D105,D106,D201";"D_SOD-323";3;"SS16HE";;;
19;"D301,D401,D402";"TO-263-2";3;"STPS2045C";;;
20;"HS301,HS302,HS401,HS402,HS403,HS201,HS202,HS203,HS303,HS304";"Heatsink_AAVID_573300D00010G_TO-263";10;"573300D00000G";;;
21;"J101";"PinHeader_2x05_P2.54mm_Vertical";1;"ST_Link_V2_10P";;;
22;"J107";"PinHeader_2x08_P2.54mm_Vertical_SMD";1;"PinHeader";;;
23;"J108";"PinHeader_2x06_P2.54mm_Vertical_SMD";1;"PinHeader";;;
24;"J201";"TerminalBlock_RND_205-00050_1x07_P5.00mm_Horizontal";1;"TB001-500-07BE CUI_Devices";;;
25;"J401";"TerminalBlock_RND_205-00045_1x02_P5.00mm_Horizontal";1;"TB001-500-02BE CUI_Devices";;;
26;"J501";"TerminalBlock_RND_205-00047_1x04_P5.00mm_Horizontal";1;"TB001-500-04BE CUI_Devices";;;
27;"J802";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
28;"L301";"PQ2617BHA-330K";1;"10uH PQ2617BLA-100K ";;;
29;"L401";"PQ2617BHA-330K";1;"10uH PQ2614BLA-100K";;;
30;"L501,L502,L503,L504";"L_Radial_D12.0mm_P6.00mm_MuRATA_1900R";4;"22uH 6100-220K-RC ";;;
31;"Q101,Q401";"SOT-723";2;"NTK3043N";;;
32;"Q201,Q202,Q203";"TO-263-2";3;"NTD14N03RT4G";;;
33;"Q301";"SOT-23";1;"MMBT2222LT1G";;;
34;"Q302";"TO-263-2";1;"TK7R7P10PL";;;
35;"Q402";"TO-263-2";1;"FDD4685-F085";;;
36;"R101,R102,R103,R105,R106,R107,R108,R109,R110,R111,R123,R218,R220,R222,R224,R304,R617";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";17;"100K";;;
